               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020707,            0.010458,            0.031808,             0.78821,             0.80158,             0.85524,             0.63318,            0.016004,           0.0030021,            0.016316,           0.0082675,           0.0082675,           0.0082675
                  37,            0.020508,            0.010341,            0.031524,             0.75428,             0.84706,             0.86238,             0.64756,            0.013577,           0.0031582,             0.01538,            0.008218,            0.008218,            0.008218
                  38,            0.020137,           0.0099783,            0.030931,             0.74389,             0.84527,             0.87644,             0.67799,            0.013006,           0.0029371,            0.014192,           0.0081685,           0.0081685,           0.0081685
                  39,            0.020092,            0.010144,            0.029969,             0.80781,             0.82334,             0.87788,             0.63565,            0.016388,           0.0033741,            0.013274,            0.008119,            0.008119,            0.008119
                  40,             0.02041,           0.0097844,            0.028191,             0.81369,             0.80686,             0.87821,             0.64912,            0.014485,           0.0028884,            0.014281,           0.0080695,           0.0080695,           0.0080695
                  41,            0.020243,           0.0099761,            0.029331,             0.76542,             0.84951,             0.87947,             0.61878,            0.015171,           0.0031423,            0.014059,             0.00802,             0.00802,             0.00802
                  42,            0.020135,            0.010095,            0.029336,             0.80247,             0.79453,              0.8882,             0.66167,            0.015102,           0.0030269,            0.013464,           0.0079705,           0.0079705,           0.0079705
                  43,            0.020013,           0.0097211,            0.027314,              0.8347,             0.76744,             0.87796,             0.65817,             0.01472,           0.0029691,            0.013297,            0.007921,            0.007921,            0.007921
                  44,            0.019402,            0.009714,            0.026523,             0.70999,              0.9247,             0.88739,             0.64693,             0.01609,           0.0028846,             0.01277,           0.0078715,           0.0078715,           0.0078715
                  45,            0.020178,            0.010027,             0.02726,             0.83353,             0.81576,             0.88824,             0.66282,            0.015327,           0.0030228,            0.013151,            0.007822,            0.007822,            0.007822
